Stakeholder,RMOV Account,Symbol / Variable,Definition,Unit,Update Equation / Rule,Interpretation,Campus Food Example,Simulation Placeholder
Students,Resources,R_student(t),Available student resources for obtaining meals,"IDR, minutes, preference score",R_student(t+1)=R_student(t)-MealCost(t)-WaitingTimeCost(t),"Represents the budget, time, and information capacity students can use for food decisions",Meal budget decreases after payment; available time decreases while waiting in queue,[to be calibrated]
Students,Mission,M_student(t),Student mission intensity for obtaining a suitable meal,0–1 normalized intensity,"M_student(t)=f(Hunger(t),Schedule(t),Budget(t),Recommendation(t))",Measures how strongly students need or intend to obtain meals at time t,Mission intensity peaks during lunch and exam week,[to be calibrated]
Students,Outputs,O_student(t),Student-generated outputs to the ecosystem,"orders, feedback count, demand units",O_student(t)=Orders(t)+Feedback(t)+PreferenceSignal(t),Represents demand and knowledge signals produced by students,Students place orders and submit ratings,[to be measured]
Students,Value,V_student(t),Value received by students from the food ecosystem,normalized score,V_student(t)=w1*Nutrition(t)+w2*Affordability(t)+w3*Convenience(t)+w4*Satisfaction(t),"Captures health, satisfaction, convenience, affordability, and learning-readiness value",Higher nutrition and shorter waiting time increase student value,[to be computed]
Vendors,Resources,R_vendor(t),Inputs available for meal production,"ingredient units, labor hours, IDR",R_vendor(t+1)=R_vendor(t)+Delivery(t)-a_vendor*Q_vendor(t),"Represents ingredients, labor, kitchen capacity, and capital",Ingredients decrease as meals are produced and increase after supplier delivery,[to be calibrated]
Vendors,Mission,M_vendor(t),Vendor production and service mission intensity,0–1 normalized capacity utilization,M_vendor(t)=PlannedProduction(t)/Capacity_vendor,Shows the percentage of vendor capacity planned for mission execution,Vendor operates at 90% capacity during lunch peak,[to be simulated]
Vendors,Outputs,O_vendor(t),Meals and services produced by the vendor,"meals, service units","O_vendor(t)=min(M_vendor(t)*Capacity_vendor,AvailableResources(t)/a_vendor)",Represents the actual quantity of meals produced and service capacity delivered,Vendor produces 150 meals from available resources,[to be simulated]
Vendors,Value,V_vendor(t),Financial and non-financial value received by the vendor,"IDR, normalized reputation score",V_vendor(t+1)=V_vendor(t)+Revenue(t)-Cost(t)+ReputationGain(t)-Penalty(t),"Captures profit, business viability, reputation, and compliance effects",Profit increases when meals are sold and decreases when waste is high,[to be computed]
Suppliers,Resources,R_supplier(t),Available supply inventory and logistics capacity,"ingredient units, delivery slots, vehicle-hours",R_supplier(t+1)=R_supplier(t)+Procurement(t)-Delivery(t),Represents stock and delivery capacity available to support vendors,Supplier stock decreases after delivering ingredients to vendors,[to be calibrated]
Suppliers,Mission,M_supplier(t),Supplier mission intensity for fulfilling vendor demand,0–1 normalized intensity,M_supplier(t)=ScheduledDelivery(t)/Capacity_supplier,Measures planned supply commitment relative to capacity,Supplier increases mission intensity before exam week,[to be simulated]
Suppliers,Outputs,O_supplier(t),Delivered ingredients and supply information,"ingredient units, delivery count, information records","O_supplier(t)=min(ScheduledDelivery(t),AvailableStock(t))",Represents useful supply outputs received by vendors,Supplier delivers vegetables and rice to canteen vendors,[to be simulated]
Suppliers,Value,V_supplier(t),Supplier value from transactions and relationship reliability,"IDR, reliability score",V_supplier(t+1)=V_supplier(t)+Payment(t)-LogisticsCost(t)+ReliabilityGain(t),"Captures revenue, margin, and long-term relationship value",On-time delivery improves supplier reliability score,[to be computed]
Delivery,Resources,R_delivery(t),Delivery resources available for meal or supply movement,"riders, vehicles, delivery slots, energy units",R_delivery(t+1)=R_delivery(t)+AvailableCapacity(t)-UsedCapacity(t),Represents logistics capacity and operational availability,Available riders decrease during lunch peak,[to be calibrated]
Delivery,Mission,M_delivery(t),Delivery mission intensity for fulfilling logistics demand,0–1 normalized intensity,M_delivery(t)=AssignedDeliveries(t)/Capacity_delivery,Measures logistics utilization and delivery commitment,Delivery intensity rises when online ordering increases,[to be simulated]
Delivery,Outputs,O_delivery(t),Completed deliveries and routing information,"deliveries, minutes saved, routing records",O_delivery(t)=CompletedDeliveries(t),Represents delivered meals or supplies and logistics service output,Delivery actor completes 80 meal deliveries,[to be measured]
Delivery,Value,V_delivery(t),Value received from delivery service,"IDR, reliability score, emissions score",V_delivery(t+1)=V_delivery(t)+DeliveryFee(t)-OperatingCost(t)-EmissionPenalty(t),"Captures income, reliability, and environmental cost",More efficient routing increases delivery value,[to be computed]
University,Resources,R_univ(t),Institutional resources for governing the ecosystem,"IDR, facility units, policy instruments",R_univ(t+1)=R_univ(t)-Subsidy(t)-FacilityCost(t)+BudgetAllocation(t),"Represents subsidy budget, facilities, data access, and governance authority",University allocates subsidy to improve meal affordability,[to be calibrated]
University,Mission,M_univ(t),University mission intensity for student welfare and campus sustainability,0–1 normalized governance intensity,"M_univ(t)=f(WelfareTarget(t),SustainabilityTarget(t),Budget(t))",Measures institutional commitment to campus food mission,University increases governance intensity after food waste rises,[to be simulated]
University,Outputs,O_univ(t),Governance outputs produced by the university,"policies, subsidy decisions, facility allocations",O_univ(t)=PolicyActions(t)+SubsidyActions(t)+FacilityActions(t),Represents institutional interventions that shape the ecosystem,University issues a plastic reduction policy,[to be recorded]
University,Value,V_univ(t),Institutional and mission value generated by the food ecosystem,normalized mission score,V_univ(t)=w1*StudentWelfare(t)+w2*Sustainability(t)+w3*VendorViability(t)+w4*Reputation(t),"Captures campus welfare, reputation, mission achievement, and sustainability",Higher student satisfaction and lower waste increase university value,[to be computed]
Operator,Resources,R_operator(t),Digital Twin Mini-Lab and coordination resources,"data records, compute units, model assets, staff-hours",R_operator(t+1)=R_operator(t)+DataIn(t)-ComputeUse(t)-MaintenanceCost(t),"Represents data, software, models, dashboards, and computational capacity",Operator receives demand data and uses compute resources to run MSRS,[to be calibrated]
Operator,Mission,M_operator(t),"Operator mission intensity for monitoring, simulation, recommendation, and reporting",0–1 normalized coordination intensity,M_operator(t)=RecommendationFrequency(t)/MaxFrequency,Measures how intensively the operator coordinates the ecosystem,Operator increases recommendation frequency during multi-shock scenario,[to be simulated]
Operator,Outputs,O_operator(t),Digital coordination outputs,"recommendations, reports, dashboards, simulations",O_operator(t)=Recommendations(t)+Reports(t)+ScenarioRuns(t),Represents decision-support artifacts produced by the operator,PUDAL generates vendor production recommendations,[to be recorded]
Operator,Value,V_operator(t),Coordination value generated by the operator,normalized contribution score,V_operator(t)=EVI_with_operator(t)-EVI_without_operator(t),Measures how much the digital coordination layer improves ecosystem performance,Operator value is high when MSRS reduces waste and shortage simultaneously,[to be computed]
Regulator,Resources,R_reg(t),Regulatory authority and enforcement capacity,"inspection slots, rules, sanction capacity",R_reg(t+1)=R_reg(t)+PolicyCapacity(t)-InspectionUse(t),"Represents rules, inspection capacity, standards, and enforcement resources",Regulator has limited inspection capacity per week,[to be calibrated]
Regulator,Mission,M_reg(t),"Regulatory mission intensity for safety, fairness, and sustainability compliance",0–1 normalized regulatory intensity,M_reg(t)=InspectionIntensity(t)+ComplianceMonitoringIntensity(t),Measures how strongly regulatory control is applied,Regulatory intensity rises after safety risk increases,[to be simulated]
Regulator,Outputs,O_reg(t),Regulatory outputs,"inspections, certifications, warnings, penalties",O_reg(t)=Inspections(t)+Certifications(t)+Sanctions(t),Represents compliance actions that shape stakeholder behavior,Regulator certifies vendors meeting hygiene standards,[to be recorded]
Regulator,Value,V_reg(t),Public value from regulation,"normalized trust, safety, and compliance score",V_reg(t)=w1*Safety(t)+w2*Fairness(t)+w3*Compliance(t)+w4*Sustainability(t),"Captures trust, safety, fairness, and environmental compliance",Food safety compliance improves public trust,[to be computed]
