Parameter Group,Parameter Name,Symbol,Definition,Unit,Default Value / Placeholder,Allowable Range,Applies To,Calibration / Data Source,Role in Model,Notes
Simulation Control,Simulation horizon,T,Total number of simulated time steps,time steps,"30, 60, or 180",T > 0,All models,Experiment design choice,Determines length of simulation run,Daily in v0.1; can be hourly in later versions
Simulation Control,Time step resolution,Δt,Duration represented by one simulation step,day or hour,1 day,Δt > 0,All models,Experiment design choice,Controls temporal granularity,Hourly resolution is recommended for lunch-peak experiments
Simulation Control,Number of repetitions,N_rep,Number of repeated stochastic simulation runs per scenario-policy combination,runs,30,N_rep ≥ 1,Experimental comparison,Statistical power requirement,Supports confidence intervals and statistical tests,Increase when stochastic variability is large
Simulation Control,Random seed set,Seed,Set of random seeds used for repeated experiments,integer,1–30,positive integers,Stochastic simulations,Experiment protocol,Ensures reproducibility,Keep same seed set across compared models
Population,Number of students,N_student,Number of student agents or aggregate student population represented in the simulation,persons,450,N_student ≥ 0,Demand generation,Campus enrollment or canteen user count,Determines base demand potential,Can be segmented into student groups
Population,Number of vendors,N_vendor,Number of food vendors operating in the ecosystem,vendors,3,N_vendor ≥ 1,Vendor layer,Campus canteen registry,Determines production diversity and capacity distribution,Can change under new-vendor or vendor-exit scenarios
Population,Number of suppliers,N_supplier,Number of supplier agents serving vendors,suppliers,1,N_supplier ≥ 1,Supply layer,Vendor procurement records,Determines supply diversity and resilience,Multiple suppliers improve disruption modeling
Population,Number of delivery actors,N_delivery,Number of delivery agents or delivery capacity units,riders or delivery units,[to be calibrated],N_delivery ≥ 0,Online and MOEE models,Delivery platform or campus logistics data,Determines delivery service capacity,Can be zero for non-delivery baseline
Demand,Base meal demand,D_base,Reference student meal demand before scenario multipliers,meals/time step,450,D_base ≥ 0,All models,Historical meal sales or survey data,Baseline for demand generation,Used with scenario demand multiplier
Demand,Demand multiplier,μ_D,Scenario-specific multiplier applied to base demand,dimensionless,1.00,μ_D ≥ 0,Scenario engine,Scenario design or historical shock data,Models demand surge or demand reduction,Exam week may use μ_D = 1.30–1.60
Demand,Demand variability,σ_D,Random variation around expected demand,meals/time step,[to be calibrated],σ_D ≥ 0,Stochastic demand generation,Historical demand variance,Introduces uncertainty into demand,Set to zero for deterministic experiments
Demand,Arrival distribution,λ_s(t),Distribution of student arrivals or meal requests over time,arrivals/time step,Poisson or empirical distribution,λ_s(t) ≥ 0,Hourly or event-based simulations,Point-of-sale logs or queue observations,Determines queue and waiting-time dynamics,Recommended for future high-resolution simulation
Demand,Price sensitivity,β_price,Effect of meal price on student demand probability,utility/IDR or normalized coefficient,[to be calibrated],β_price ≤ 0,Student choice model,Survey or transaction data,Models affordability response,Higher magnitude means stronger price sensitivity
Demand,Nutrition preference weight,β_nutrition,Effect of nutrition score on student vendor or menu choice,utility/score,[to be calibrated],β_nutrition ≥ 0,Student choice model,Survey or observed menu choices,Captures preference for healthier meals,Can change under nutrition campaign scenario
Vendor Capacity,Vendor capacity,C_v,Maximum meals a vendor can produce per time step,meals/time step,Vendor_A=180; Vendor_B=160; Vendor_C=140,C_v ≥ 0,Vendor agents,Vendor production records,Limits production and affects shortage risk,Can be reduced by vendor failure or equipment failure
Vendor Capacity,Vendor mission intensity,M_v(t),Planned vendor capacity utilization,0–1 normalized fraction,model-dependent,0 ≤ M_v(t) ≤ 1.10,Vendor agents,Simulation decision variable,Determines production quantity,Can exceed 1.0 to represent overload in stress tests
Vendor Capacity,Production quantity,Q_v(t),Number of meals produced by vendor v at time t,meals/time step,Q_v(t)=M_v(t)×C_v,Q_v(t) ≥ 0,Vendor agents,Simulation output,"Determines served meals, leftovers, and waste",May be constrained by resource availability
Vendor Capacity,Vendor productivity coefficient,η_v,Efficiency with which vendor mission workload becomes useful meals,meals/workload unit,1.00,η_v ≥ 0,Vendor agents,Vendor operational data,Converts workload into output,Can fall under disruption or labor shortage
Supply,Supplier capacity,C_sup,Maximum ingredient supply or delivery capacity per time step,ingredient units/time step,600,C_sup ≥ 0,Supplier agents,Supplier delivery records,Limits vendor resource availability,Can be reduced under supply-chain disruption
Supply,Supply multiplier,μ_S,Scenario-specific multiplier applied to available supply,dimensionless,1.00,μ_S ≥ 0,Scenario engine,Scenario design,Models supply shock or supply expansion,Supply shock may use μ_S = 0.50–0.80
Supply,Resource coefficient,a_v,Ingredient/resource amount required per meal produced,resource units/meal,[to be calibrated],a_v ≥ 0,Vendor resource use,Recipe or procurement data,Links production to resource consumption,Different menus may have different coefficients
Inventory,Vendor inventory level,Inv_v(t),Ingredient inventory available to vendor v,resource units,[to be calibrated],Inv_v(t) ≥ 0,Vendor agents,Inventory records,Determines feasible production,Not fully implemented in v0.1
Inventory,Inventory capacity,InvCap_v,Maximum ingredient inventory that vendor v can store,resource units,[to be calibrated],InvCap_v ≥ 0,Vendor agents,Storage capacity data,Limits advance procurement,Important for perishable goods
Inventory,Perishability rate,ρ_perish,Fraction of inventory that becomes unusable per time step,fraction/time step,[to be calibrated],0 ≤ ρ_perish ≤ 1,Inventory and waste model,Food spoilage data,Models ingredient spoilage,Relevant for sustainability analysis
Pricing and Cost,Meal price,P_v,Selling price per meal from vendor v,IDR/meal,Vendor-specific,P_v ≥ 0,Vendor revenue and student affordability,Menu price list,Determines revenue and affordability,Can be constrained by university policy
Pricing and Cost,Unit production cost,c_v,Cost incurred by vendor v to produce one meal,IDR/meal,Vendor-specific,c_v ≥ 0,Vendor profit,Procurement and labor cost data,Determines vendor financial viability,Affected by inflation scenario
Pricing and Cost,Cost multiplier,μ_C,Scenario-specific multiplier applied to operating cost,dimensionless,1.00,μ_C ≥ 0,Scenario engine,Scenario design or price index,Models inflation and cost shocks,Inflation may use μ_C = 1.20–1.50
Pricing and Cost,Fixed vendor cost,F_v,Fixed operating cost per vendor per time step,IDR/time step,[to be calibrated],F_v ≥ 0,Vendor profit,"Rental, utilities, staff records",Determines vendor break-even point,Not fully implemented in v0.1
Pricing and Cost,University subsidy per meal,Sub_meal,Subsidy provided by university per eligible meal,IDR/meal,0.25 normalized units in v0.1,Sub_meal ≥ 0,University and vendor value,University budget policy,Supports affordability and vendor viability,Can be activated under inflation or scholarship scenarios
Waste,Leftover meals,L_v(t),Produced meals not served by vendor v,meals/time step,"L_v(t)=max(Q_v(t)-D_v(t),0)",L_v(t) ≥ 0,Vendor agents,Simulation output,Intermediate variable for waste calculation,Some leftovers may be donated or reused in future versions
Waste,Waste conversion rate,ρ_waste,Fraction of leftover meals that becomes waste,fraction,Baseline=0.65; Online=0.45; MOEE=0.20,0 ≤ ρ_waste ≤ 1,Waste model,Waste audits or scenario assumption,Converts leftover into raw waste,Lower in MOEE due to better coordination
