Module ID,Software Module,Responsibility,Main Inputs,Main Outputs,Core Classes / Files,Related MOEE Concept,Interacts With,Streamlit / UI Role,Reuse Potential
M01,Stakeholder Agent Core,"Represent autonomous stakeholders with mission planning, recommendation reception, action decision, execution, and memory","Ecosystem state S(t), scenario state, recommendation Rec_i(t), stakeholder parameters","Mission intensity M_i(t), accepted action A_i(t), executed workload, updated local state",StakeholderAgent; Recommendation; core/agent.py,Stakeholder autonomy; Mission Intensity Graph; RMOV,Ecosystem Container; PUDAL Controller; MSRS Engine; Metrics Engine,Displayed as stakeholder configuration and simulation state,"High; subclass for GRACE, water distribution, smart loan, healthcare, and other cases"
M02,RMOV Account Module,"Maintain Resource, Mission, Output, and Value accounts for each stakeholder","Resource changes, mission intensity, produced outputs, value gains/losses",Updated RMOV account state for each stakeholder,RMOVAccount; core/accounts.py,RMOV accounting,Stakeholder Agent Core; Metrics Engine; PSKVE Ledger,Can be displayed as stakeholder account table,High; generic for all MOEE domains
M03,Mission Intensity Graph Module,Store and retrieve time-varying mission intensity values for stakeholders,"Planned mission intensity, accepted recommendations, time step t",Mission intensity series M_i(t),MissionIntensityGraph; core/mission.py,Mission Intensity Graph,Stakeholder Agent Core; PUDAL Controller; Metrics Engine,Can generate mission intensity plots and synchronization charts,High; reusable across all cases
M04,PSKVE Exchange Ledger,"Record Product, Service, Knowledge, Value, and Environment exchanges among stakeholders",Exchange records generated during execution,PSKVE ledger table and exchange history,PSKVEExchange; ExchangeLedger; core/exchange.py,PSKVE exchange model,Ecosystem Container; Stakeholder Agents; Metrics Engine,Can be displayed as exchange log or stakeholder network table,High; exchange categories remain stable across domains
M05,Scenario Engine,Apply disturbances and scenario conditions to the ecosystem during simulation,"Scenario name, base state, time step t, scenario parameters","Scenario-adjusted state variables such as demand multiplier, cost multiplier, supply multiplier, and capacity multiplier",Scenario; SCENARIOS; core/scenario.py,Scenario wind tunnel; stress testing,Simulation Runner; Ecosystem Container; Metrics Engine,Scenario selection widget and scenario comparison table,High; new domains can define additional scenario libraries
M06,MSRS Policy Engine,Generate multi-stakeholder recommendation vectors according to selected policy objectives,"Interpreted ecosystem state, policy name, stakeholder list, objective weights",Recommendation vector Rec(t)={Rec_i(t)},MSRSPolicy; BalancedEVIPolicy; CostFirstPolicy; NutritionFirstPolicy; WasteFirstPolicy; core/msrs.py,Multi-Stakeholder Recommendation System,PUDAL Controller; Stakeholder Agents; Metrics Engine,Policy selection widget and recommendation summary,High; policies can be replaced or extended for each domain
M07,PUDAL Controller,"Coordinate Perception, Understanding, Decision, Action, and Learning stages","Ecosystem state S(t), MSRS policy, previous outcomes, mission goals","Recommendations, action dispatch, learning log, interpreted state",PUDALController; core/pudal.py,PUDAL closed-loop control,Ecosystem Container; MSRS Policy Engine; Stakeholder Agents; Metrics Engine,"Can show PUDAL log, recommendation flow, and decision trace",High; central coordination layer for all cases
M08,Metrics Engine,Compute normalized performance metrics and Ecosystem Value Index,"Domain outcomes, demand, served output, waste, profit, satisfaction, nutrition, scenario state","Fulfillment, waste reduction score, profitability score, sustainability, mission achievement, EVI",MetricsEngine; core/metrics.py,EVI; mission achievement; sustainability; robustness,Ecosystem Container; Simulation Runner; Dashboard,"Summary metrics, time-series plots, downloadable results","Medium-High; common metrics reusable, domain metrics extendable"
M09,Ecosystem Container,"Hold agents, ledger, controller, context, history, and the step-by-step simulation loop","Agents, scenario-adjusted state, model type, controller, domain case configuration","Simulation history rows, domain outcomes, updated stakeholder states",Ecosystem; core/ecosystem.py,Mission-oriented ecosystem as executable system,All core modules,Provides backend state for dashboard and experiments,High; inherited by all domain cases
M10,Simulation Runner,"Execute one or more simulation runs across models, scenarios, policies, and time horizons","Ecosystem factory, model, scenario, policy, number of time steps","Simulation result dataframe, multi-run experiment results",SimulationRunner; core/simulation.py,Experiment manager; baseline-online-MOEE comparison,Scenario Engine; Ecosystem Container; Metrics Engine,Runs simulations when user clicks Run,High; case-agnostic experiment runner
