Scenario ID,Scenario Name,Scenario Type,Difficulty Level,Scenario Evaluation Purpose,Baseline EVI,Online Platform EVI,MOEE EVI,MOEE vs Baseline EVI Improvement,MOEE vs Online EVI Improvement,Baseline Mission Achievement,Online Platform Mission Achievement,MOEE Mission Achievement,Baseline Sustainability Score,Online Platform Sustainability Score,MOEE Sustainability Score,Baseline Resilience Score,Online Platform Resilience Score,MOEE Resilience Score,Baseline Recovery Time,Online Platform Recovery Time,MOEE Recovery Time,Expected Winner,Recommended MOEE / MSRS Policy,Expected MOEE Advantage,Key Risk or Trade-off,Statistical Test Placeholder,Interpretation Placeholder
S00,Normal Operation,Reference condition,Low,Evaluate baseline behavior and calibrate normal performance.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],Reference; winner determined after calibration,Balanced EVI Policy,MOEE may show modest improvement under normal conditions,Overengineering or unnecessary coordination cost,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S01,Lunch Demand Surge,Demand shock,Medium,Test ability to handle sudden peak lunch demand.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Resilience-First Policy or Balanced EVI Policy,"Higher resilience, fulfillment, and mission synchronization",Stakeholder recommendation non-acceptance or coordination delay,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S02,Exam Week,Predictable demand surge,Medium,Test planned coordination under sustained academic-period demand growth.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Resilience-First Policy or Balanced EVI Policy,"Higher resilience, fulfillment, and mission synchronization",Stakeholder recommendation non-acceptance or coordination delay,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S03,Semester Break,Demand reduction,Low-Medium,Test overproduction control and vendor viability under low demand.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Waste-First Policy or Profit-First Policy,Lower waste and better vendor viability during low demand,Too conservative production may reduce availability,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S04,Inflation,Cost shock,Medium,Test affordability and vendor viability under rising input costs.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected if subsidy and affordability policies are active,Affordability-First Policy or Balanced EVI Policy,Better balance between affordability and vendor viability,Budget constraint limits achievable improvement,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S05,Supply Chain Disruption,Supply shock,High,Test ability to preserve meal availability when ingredient supply is constrained.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Resilience-First Policy or Balanced EVI Policy,"Higher resilience, fulfillment, and mission synchronization",Stakeholder recommendation non-acceptance or coordination delay,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S06,Vendor Failure,Capacity shock,High,Test demand redistribution and resilience after vendor capacity loss.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Resilience-First Policy or Balanced EVI Policy,"Higher resilience, fulfillment, and mission synchronization",Stakeholder recommendation non-acceptance or coordination delay,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S07,Equipment Failure,Operational shock,Medium-High,Test local capacity reduction and operational recovery.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Balanced EVI Policy,Improved coordination and mission achievement,Model parameters require calibration,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S08,Power or Internet Outage,Infrastructure shock,High,Test fallback operation when digital coordination is degraded.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Resilience-First Policy or Balanced EVI Policy,"Higher resilience, fulfillment, and mission synchronization",Stakeholder recommendation non-acceptance or coordination delay,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S09,Pandemic or Health Restriction,Health and capacity shock,High,Test safe access under restricted physical capacity and increased delivery dependence.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Resilience-First Policy or Balanced EVI Policy,"Higher resilience, fulfillment, and mission synchronization",Stakeholder recommendation non-acceptance or coordination delay,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S10,Food Safety Incident,Trust and regulation shock,High,"Test demand redirection, compliance response, and trust recovery.",[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected if compliance constraints are embedded,Compliance-First Policy,"Faster risk detection, demand redirection, and trust recovery",Incomplete compliance data or weak enforcement response,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
S11,New Vendor Entry,Structural change,Medium,Test integration of additional capacity and demand redistribution.,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],MOEE expected,Fairness-First Policy or Adaptive Scenario-Aware Policy,Better adaptation to structural and behavioral changes,Demand redistribution may be perceived as unfair,[ANOVA / Kruskal-Wallis / pairwise test],[to be filled after simulation]
