Threat ID,Validity Type,Threat,Potential Impact,Likelihood,Severity,Affected MOEE Component,Mitigation Strategy,Residual Limitation,Evidence / Diagnostic Check,Reporting Location
TV01,Construct Validity,Ecosystem Value Index may not fully represent mission-oriented value,The study may overstate MOEE performance if EVI weights omit important stakeholder values.,Medium,High,EVI; RMOV; MSRS policy selection,"Define EVI components explicitly, justify all weights, conduct sensitivity analysis, and report disaggregated metrics.",No single index can fully capture all stakeholder value trade-offs.,Weight-sensitivity plots; comparison of aggregate EVI with stakeholder-specific utility scores,Methods; Results; Limitations
TV02,Construct Validity,Mission Achievement may be simplified into a weighted metric,Complex institutional missions may be reduced to measurable proxies only.,High,Medium-High,Mission Achievement; MIG; RMOV,Separate mission indicators from operational metrics and explain which mission dimensions are not yet captured.,Qualitative mission meanings may remain partially unmodeled.,Traceability matrix linking mission statements to measurable variables,Framework definition; Discussion
TV03,Construct Validity,Stakeholder utility functions may reflect researcher assumptions rather than actual preferences,Recommendations may optimize a utility model that differs from real stakeholder priorities.,Medium,High,Utility functions; MSRS; stakeholder agents,"Treat utilities as explicit modeling assumptions, calibrate with surveys or interviews when available, and test multiple utility weight sets.",Preferences may change over time and under stress.,Stakeholder validation session; sensitivity analysis across utility weights,Experimental setup; Threats to validity
TV04,Internal Validity,Observed performance gains may be caused by parameter choices rather than MOEE architecture,MOEE advantage may be inflated if default parameters favor coordination.,Medium,High,Simulation parameters; scenario engine; MSRS policies,"Use identical base parameters across models, disclose all parameters, run multiple parameter sets, and perform ablation tests.",Some parameters may remain uncertain before field calibration.,"Parameter-sensitivity table; ablation of PUDAL, MSRS, and learning components",Experiment design; Results appendix
TV05,Internal Validity,"Comparison between Baseline, Online Platform, and MOEE may not be equally calibrated",Differences may reflect model implementation imbalance rather than conceptual superiority.,Medium,High,Model comparison design,"Define the same demand, capacity, cost, and scenario conditions for all models; document what capabilities each model is allowed to use.",Real-world baseline and platform implementations vary substantially.,Common experimental-control matrix; capability comparison table,Experimental design
TV06,Internal Validity,Recommendation acceptance behavior may be overly idealized,MOEE may appear stronger if stakeholders accept recommendations more often than realistic.,High,High,MSRS; PUDAL Action stage; stakeholder agents,"Model acceptance probability as a variable, test low/medium/high trust settings, and report acceptance-rate sensitivity.","Actual human adoption depends on culture, incentives, trust, and organizational politics.",Scenario runs with acceptance rates from 0% to 100%,Results; Discussion
TV07,Internal Validity,PUDAL Learning may not be fully implemented in early Mini-Lab versions,The simulation may evaluate closed-loop coordination but not genuine adaptive learning.,High,Medium,PUDAL Learning; Adaptive Scenario-Aware Policy,"Clearly distinguish logging, parameter update, and adaptive learning; label future-learning results as placeholders if not implemented.",Early results may understate or overstate the role of learning depending on assumptions.,Code trace showing whether parameters update across time steps,Implementation section; Limitations
TV08,External Validity,Campus food service case may not generalize to other mission-oriented ecosystems,"Findings may be case-specific and not automatically transferable to GRACE, water, loans, or healthcare.",Medium,Medium-High,Domain generalization; case design,Identify which elements are domain-independent and which are domain-specific; include a cross-domain generalization table.,"Each domain requires new stakeholders, missions, resources, and constraints.","Mapping of PSKVE, RMOV, MIG, PUDAL, and MSRS across domains",Generalization section; Table 22
TV09,External Validity,Scenario library may not represent the full range of real disruptions,Robustness claims may not hold under untested combinations of shocks.,Medium,Medium-High,Scenario engine; robustness evaluation,"Use diverse scenarios, include compound disruptions, and avoid claiming universal robustness.",Rare black-swan events and institutional shocks may remain outside the library.,Scenario coverage matrix; stress-test expansion log,Scenario design; Limitations
TV10,External Validity,Stakeholder behavior in simulation may differ from field behavior,"Agent-level responses may not capture habit, resistance, informal negotiation, or strategic gaming.",High,High,Stakeholder agents; utility functions; acceptance model,Use stakeholder interviews or field pilots for calibration and present agent behavior as a transparent assumption.,Human behavior remains partly unpredictable and context-sensitive.,Behavioral calibration data; pilot comparison between simulated and observed behavior,Discussion; Future work
TV11,Conclusion Validity,Insufficient simulation repetitions may lead to unstable statistical conclusions,Reported differences may be artifacts of random seeds or stochastic noise.,Medium,Medium,Experimental design; statistical analysis,"Run repeated simulations with shared seed sets, report confidence intervals, and conduct appropriate statistical tests.",Very high-dimensional experiments may still have limited statistical power.,Confidence intervals; convergence of mean EVI over repetitions,Results; Statistical analysis
TV12,Conclusion Validity,"Multiple comparisons across models, policies, metrics, and scenarios may inflate significance",Some reported significant differences may be false positives.,Medium,Medium,Policy ranking; performance comparison,Use correction procedures or emphasize effect sizes and robustness rather than p-values alone.,Exploratory simulation studies may generate many correlated comparisons.,Adjusted p-values; effect-size table; robustness ranking,Results appendix; Limitations
TV13,Conclusion Validity,Aggregate ranking may hide stakeholder-specific losses,A high-ranked MSRS policy may improve total EVI while harming a minority stakeholder group.,Medium,High,MSRS ranking; EVI; fairness metrics,"Report disaggregated stakeholder utility, fairness metrics, and minimum-threshold constraints.",Value trade-offs cannot always be eliminated.,Stakeholder utility distribution; Gini or fairness index,Results; Ethics and governance discussion
TV14,Data Validity,Default parameters may not be calibrated with real campus data,Numerical results may be illustrative rather than empirically valid.,High in early stage,High,Simulation parameters; metrics; scenario magnitudes,"Label default values as placeholders, collect field data, and separate conceptual proof-of-concept from empirical validation.","Some data may be unavailable, sensitive, or costly to collect.",Parameter provenance table; calibration status column,Simulation parameters; Limitations
TV15,Data Validity,"Data from vendors, students, suppliers, or university systems may be incomplete or biased",Perception and Understanding stages may produce distorted ecosystem state estimates.,Medium-High,High,PUDAL Perception; state estimation; dashboard,"Use validation checks, missing-data handling, triangulation across sources, and uncertainty reporting.",Data quality may vary by stakeholder and time period.,Missing-data report; anomaly log; source comparison,Data section; Implementation limitations
TV16,Model Validity,PSKVE exchanges may be simplified as direct flows,"Complex institutional, relational, or symbolic exchanges may be omitted.",Medium,Medium,PSKVE exchange ledger; stakeholder network,Explicitly define which exchange types are modeled and add qualitative explanation for omitted exchanges.,"Some knowledge, trust, and legitimacy flows are difficult to quantify.",Exchange matrix completeness review; stakeholder validation,Framework; Model assumptions
TV17,Model Validity,"RMOV account updates may not capture real resource depletion, recovery, or value conversion",Stakeholder sustainability may be misestimated over long simulation horizons.,Medium,Medium-High,RMOV accounting; stakeholder dynamics,"State update equations clearly, calibrate with domain data, and test alternative account-update rules.",Some resources and values are intangible and hard to monetize or normalize.,Account-balance trajectory; equation sensitivity analysis,Mathematical model; Appendix
TV18,Model Validity,Mission dependency matrix may omit latent or indirect dependencies,Bottleneck and synchronization analysis may miss important systemic risks.,Medium,Medium,Mission Dependency Matrix; MIG; PUDAL Understanding,"Use iterative dependency elicitation, scenario stress tests, and stakeholder review.",Hidden dependencies may only appear during real disruptions.,Dependency review workshop; scenario failure analysis,Framework; Threats to validity
TV19,Implementation Validity,Software bugs or inconsistent module integration may affect simulation results,Performance differences may reflect coding errors rather than model behavior.,Medium,High,Mini-Lab software modules; simulation runner; metrics engine,"Use unit tests, smoke tests, code review, reproducible seeds, and independent result checks.",Research prototypes may not reach production-grade reliability.,Test coverage report; reproducibility check; independent metric recomputation,Implementation; Appendix
TV20,Implementation Validity,Dashboard visualizations may encourage overinterpretation of placeholder results,Users may treat illustrative outputs as validated empirical findings.,Medium,Medium,Digital Twin Mini-Lab dashboard; result export,"Clearly label placeholder, simulated, calibrated, and field-validated outputs.",Visual interfaces can make uncertain outputs appear authoritative.,UI labels; result metadata; calibration-status field,Mini-Lab description; Ethics section
TV21,Ethical and Governance Validity,Recommendation system may reduce stakeholder autonomy or create perceived coercion,Stakeholders may resist the system or experience unfair pressure to follow recommendations.,Medium,High,MSRS; PUDAL Action; governance layer,"Keep recommendations advisory, explain rationale, allow opt-out, and monitor acceptance and fairness.","Power asymmetry between university, vendors, and students may still influence behavior.",Opt-out rate; stakeholder feedback; fairness audit,Ethics; Governance
TV22,Ethical and Governance Validity,Data collection may raise privacy and consent concerns,Student or vendor data may be misused or collected without adequate transparency.,Medium,High,PUDAL Perception; data layer; dashboard,"Use anonymization, consent procedures, data minimization, access control, and ethical review.",Even anonymized behavioral data can sometimes be reidentified.,Data governance protocol; privacy impact assessment,Ethics; Data governance
TV23,Ethical and Governance Validity,"Optimization may produce unfair allocation of attention, subsidies, or demand",Certain vendors or student groups may systematically benefit less from MOEE recommendations.,Medium,High,MSRS; utility functions; fairness metrics,"Include fairness constraints, report distributional impacts, and review recommendations with stakeholders.",Fairness definitions may differ across stakeholders.,Fairness metrics; subgroup analysis; stakeholder review,Results; Governance; Limitations
TV24,Ecological Validity,"Simulation environment may not capture informal negotiation, trust, culture, and institutional routines",Digital twin behavior may diverge from real organizational dynamics.,High,Medium-High,Digital Twin Mini-Lab; stakeholder agents,"Position the Mini-Lab as a decision-support and hypothesis-testing tool, not a perfect replica of reality.",Full social complexity cannot be simulated exhaustively.,Pilot study comparison; qualitative stakeholder feedback,Discussion; Future work
TV25,Temporal Validity,Short simulation horizons may miss long-term adaptation and path dependence,"Long-run vendor exit, trust change, habit formation, or institutional learning may be underestimated.",Medium,Medium,Simulation horizon; PUDAL learning; stakeholder state,"Run short-, medium-, and long-horizon experiments and report horizon sensitivity.",Long-term dynamics require additional behavioral and institutional assumptions.,"30, 60, and 180 time-step comparison",Experiment design; Results
TV26,Transferability Validity,MOEE terminology may be difficult for external readers to map to established systems-engineering concepts,The contribution may be misunderstood or considered overly domain-specific.,Medium,Medium,Framework presentation; publication communication,"Provide clear definitions, notation, comparison with literature streams, and self-contained tables.",New frameworks require repeated explanation and empirical demonstration.,Reviewer feedback; terminology glossary; comparison tables,Introduction; Theory; Tables 1–3
