Table Number,Prompt Title,CSV File,Data Status
1,"Compare Baseline, Online Platform, and MOEE","table_01_ecosystem_models.csv","Complete conceptual table"
2,"Compare literature streams","table_02_literature_streams.csv","Complete literature synthesis"
3,"Research gap from local to mission-oriented optimization","table_03_research_gap.csv","Complete conceptual table"
4,"Define campus-food stakeholders","table_04_stakeholder_definitions.csv","Complete case-model table"
5,"PSKVE stakeholder exchange matrix","table_05_pskve_exchange_matrix.csv","Complete case-model table"
6,"Define RMOV accounts and update rules","table_06_rmov_accounts.csv","Complete formal specification"
7,"Define Mission Intensity Graph variables","table_07_mission_intensity_graph_variables.csv","Complete formal specification"
8,"Mission Dependency Matrix","table_08_mission_dependency_matrix.csv","Complete dependency specification"
9,"Define PUDAL stages","table_09_pudal_stages.csv","Complete control specification"
10,"Define MSRS recommendation vectors","table_10_msrs_recommendation_vector.csv","Complete recommendation specification"
11,"Mini-Lab software modules","table_11_minilab_software_modules.csv","Complete architecture table"
12,"Scenario library","table_12_scenario_library.csv","Complete experiment input table"
13,"Candidate MSRS policies","table_13_candidate_msrs_policies.csv","Complete policy specification"
14,"Stakeholder utility functions","table_14_stakeholder_utility_functions.csv","Complete formal specification"
15,"Experimental design matrix","table_15_experimental_design_matrix.csv","Complete experiment matrix"
16,"Simulation parameters","table_16_simulation_parameters.csv","Complete parameter registry with calibration placeholders"
17,"Evaluation metrics and formulas","table_17_evaluation_metrics.csv","Complete metric specification"
18,"Architecture performance comparison","table_18_performance_comparison.csv","Result template; values intentionally unpopulated until final runs"
19,"Scenario performance comparison","table_19_scenario_performance.csv","Result template; values intentionally unpopulated until final runs"
20,"MSRS policy ranking","table_20_msrs_ranking.csv","Ranking template; values intentionally unpopulated until final runs"
21,"Threats to validity","table_21_threats_to_validity.csv","Complete validity table"
22,"Generalization across domains","table_22_generalization_across_domains.csv","Complete transferability table"
DT-1,"Construct-to-observable map","table_dt_01_construct_observable_map.csv","Complete focused-journal table"
DT-2,"Claims evidence and limits","table_dt_02_claims_evidence_limits.csv","Complete focused-journal table"
DT-3,"Online update contract","table_dt_03_online_update_contract.csv","Complete focused-journal table"
DT-4,"Sustainability metric specification","table_dt_04_sustainability_metrics.csv","Complete focused-journal table"
DT-5,"Experimental design and comparator fairness","table_dt_05_experimental_design_fairness.csv","Complete focused-journal table"
DT-6,"Calibration and validation ladder","table_dt_06_calibration_validation_ladder.csv","Complete focused-journal table"
