Scenario ID,Scenario Name,Disturbance Type,Description,Disturbance Magnitude,Affected Stakeholders,Expected Consequences,Key State Variables,Recovery Objective,Difficulty Level,Primary Metrics,MSRS / PUDAL Response,Campus Food Example,Simulation Placeholder
S00,Normal Operation,Reference condition,Typical campus food operation without major disruption,None,All stakeholders,"Stable demand, normal production, ordinary waste and queue patterns",demand_multiplier=1.00; cost_multiplier=1.00; supply_multiplier=1.00; capacity_multiplier=1.00,Maintain baseline mission achievement and EVI,Low,"EVI, satisfaction, profit, waste reduction, fulfillment",Use as reference scenario for calibration and model comparison,Regular teaching week with predictable lunch demand,Reference result
S01,Lunch Demand Surge,Demand shock,Sudden increase in student meal demand during lunch period,Demand +25% to +50%,"Students, Vendors, Suppliers, Delivery, Operator","Longer queues, higher shortage risk, higher vendor utilization",demand_multiplier=1.25–1.50,Fulfill additional demand without excessive waste or waiting time,Medium,"Fulfillment, waiting time, satisfaction, vendor utilization, EVI","Increase vendor mission intensity, redirect students, synchronize supply and delivery",Unexpected campus event creates extra lunch demand,[to be simulated]
S02,Exam Week,Predictable demand surge,Sustained increase in food demand due to exam schedules and longer campus stay,Demand +30% to +60%,"Students, Vendors, Suppliers, University, Operator","Higher meal demand, stronger peak loads, risk of shortage and student dissatisfaction",demand_multiplier=1.30–1.60,"Maintain affordability, nutrition, and short waiting time during peak academic stress",Medium,"Mission achievement, satisfaction, nutrition, shortage, EVI","Pre-plan production, advance supplier delivery, issue student routing recommendations",Students remain longer on campus and need more meals during exams,[to be simulated]
S03,Semester Break,Demand reduction,Reduced student presence lowers food demand,Demand -30% to -60%,"Vendors, Suppliers, Delivery, University","Overproduction risk, low vendor utilization, lower supplier turnover",demand_multiplier=0.40–0.70,Reduce waste while preserving minimum vendor viability,Low-Medium,"Waste reduction, profit, utilization, vendor viability","Recommend lower production, reduced delivery schedule, temporary menu adjustment",Campus population drops after final exams,[to be simulated]
S04,Inflation,Cost shock,Ingredient and operating costs increase while student budgets remain limited,Cost +20% to +50%,"Students, Vendors, Suppliers, University","Reduced affordability, lower vendor margin, pressure to increase prices",cost_multiplier=1.20–1.50,Maintain affordability and vendor viability,Medium,"Affordability, profit, satisfaction, mission achievement, EVI","Recommend subsidy, menu substitution, supplier renegotiation, cost-sensitive routing","Rice, oil, and meat prices increase significantly",[to be simulated]
S05,Supply Chain Disruption,Supply shock,Ingredient supply becomes limited or delayed,Supply -20% to -50%,"Suppliers, Vendors, Students, Operator","Ingredient shortages, reduced menu availability, lower meal production",supply_multiplier=0.50–0.80,Avoid critical stockout and maintain essential meal availability,High,"Shortage, fulfillment, nutrition, supplier reliability, EVI","Recommend menu substitution, supplier reallocation, production prioritization",Supplier cannot deliver vegetables due to external disruption,[to be simulated]
S06,Vendor Failure,Capacity shock,"One or more vendors cannot operate due to illness, equipment failure, or closure",Capacity -20% to -40%,"Vendors, Students, Delivery, University, Operator","Capacity shortage, longer queues, demand redistribution, lower menu diversity",capacity_multiplier=0.60–0.80,Redistribute demand and preserve minimum service level,High,"Fulfillment, waiting time, satisfaction, resilience, EVI","Redirect students, increase production at remaining vendors, activate backup vendors",Popular vendor closes unexpectedly during lunch period,[to be simulated]
S07,Equipment Failure,Operational shock,Kitchen or payment equipment failure reduces vendor throughput,Affected vendor capacity -20% to -70%,"Vendors, Students, Operator","Queue formation, slower service, lower production, possible wasted ingredients",vendor_specific_capacity_multiplier=0.30–0.80,Minimize queue and reroute demand to functioning capacity,Medium-High,"Waiting time, shortage, utilization, satisfaction",Issue rerouting recommendations and adjust production plans of other vendors,Rice cooker or payment terminal fails at Vendor_A,[to be simulated]
S08,Power or Internet Outage,Infrastructure shock,Digital services or food production infrastructure are temporarily unavailable,Digital availability 0% to 50%; capacity -10% to -40%,"Operator, Vendors, Students, Delivery","Online ordering disruption, payment delay, lower recommendation effectiveness",platform_availability=0.00–0.50; capacity_multiplier=0.60–0.90,Maintain fallback operations and essential food service,High,"Service continuity, resilience, satisfaction, EVI","Switch to fallback policy, reduce dependence on online data, prioritize essential operations",Campus internet outage disables online ordering dashboard,[to be simulated]
S09,Pandemic or Health Restriction,Health and capacity shock,Health protocols reduce physical capacity and change demand patterns,Demand -20% to +20%; capacity -30% to -60%,"Students, Vendors, Delivery, University, Regulator","Reduced seating, higher delivery dependence, compliance burden, changed demand timing",capacity_multiplier=0.40–0.70; delivery_demand_multiplier=1.30–2.00,Maintain safe food access and compliance,High,"Safety compliance, delivery reliability, satisfaction, mission achievement","Increase delivery recommendations, stagger demand, enforce compliance constraints",Physical distancing reduces canteen capacity,[to be simulated]
