Policy ID,MSRS Policy Name,Primary Objective,Mathematical Objective Function,Main Stakeholder Priority,Recommendation Logic,Strengths,Weaknesses,Computational Complexity,Best-Fit Scenarios,Key Metrics to Monitor,Risk / Trade-off,Simulation Placeholder
P01,Cost-First Policy,"Minimize total operating cost across vendors, suppliers, delivery, and university support",min C_total(t)=C_vendor(t)+C_supplier(t)+C_delivery(t)+C_university(t),"University, vendors, suppliers","Recommend lower-cost menus, reduced production buffers, cost-efficient suppliers, and minimal subsidy use",Improves cost control and may protect vendor margins under stable demand,"May reduce nutrition, satisfaction, redundancy, and resilience",Low,"Stable operation, low budget availability, inflation monitoring","Total cost, vendor profit, affordability, satisfaction, nutrition score, EVI",Overemphasis on cost can create hidden mission failure,[average cost reduction %]
P02,Profit-First Policy,Maximize vendor and supplier financial viability,max Π_total(t)=Σ_v Π_v(t)+Σ_s Π_s(t),"Vendors, suppliers, delivery actors","Recommend production, pricing, and demand routing that increase sales and reduce unprofitable operations",Improves business continuity and stakeholder willingness to participate,May increase price and reduce affordability for students,Low-Medium,"Vendor exit risk, low sales periods, semester break","Vendor profit, supplier revenue, student affordability, demand fulfillment, EVI",Vendor viability may be improved at the expense of student welfare,[profit improvement %]
P03,Student Satisfaction-First Policy,Maximize student satisfaction and meal access quality,max Sat_student(t)=w1*Affordability+w2*Nutrition+w3*Convenience+w4*(1-WaitingTime),Students,"Recommend vendors, menus, order times, and delivery options that improve convenience, nutrition, and queue experience","Improves user adoption, perceived service quality, and campus welfare",May overload popular vendors or increase vendor cost,Medium,"Lunch peak, exam week, high complaint periods","Satisfaction, waiting time, nutrition, affordability, vendor utilization, EVI",Optimizing student experience alone may reduce vendor sustainability,[satisfaction improvement score]
P04,Nutrition-First Policy,Maximize nutritional quality and health-related mission achievement,max Nutrition(t)=Σ_v S_v(t)*n_v / Σ_v S_v(t),"Students, university, regulator","Recommend healthier menus, nutrition-aware student routing, and supplier choices that support better ingredients",Aligns strongly with student welfare and institutional mission,May increase cost and reduce short-term student acceptance if preferences differ,Medium,"Nutrition policy, health campaign, welfare-oriented intervention","Nutrition score, satisfaction, affordability, vendor profit, mission achievement",Healthier options may be less affordable or less preferred without subsidy,[nutrition score increase]
P05,Waste-First Policy,"Minimize raw food waste, leftover meals, and environmental burden","min W(t)=Σ_v ρ_v*max(Q_v(t)-D_v(t),0)","University, vendors, regulator, environment","Recommend conservative production, better demand forecasting, menu substitution, and redistribution of surplus",Improves sustainability and reduces unnecessary cost,May increase shortage risk if demand is underestimated,Medium,"Semester break, plastic ban, sustainability campaign, low-demand uncertainty","Waste reduction score, shortage, satisfaction, vendor profit, sustainability",Very low waste may mean insufficient buffer capacity,[waste reduction %]
P06,Affordability-First Policy,Maximize student affordability and protect low-income student access,max Affordability(t)=1−AvgMealPrice(t)/StudentBudget(t),"Students, university","Recommend low-cost menu options, targeted subsidy, price-sensitive vendor routing, and cost-sharing mechanisms",Supports equity and student welfare during cost pressure,May reduce vendor profit or require higher university subsidy,Medium,"Inflation, scholarship meal expansion, cost shock","Affordability, subsidy cost, vendor profit, student satisfaction, EVI",Affordability gains may depend on limited subsidy budget,[affordability improvement score]
P07,Fairness-First Policy,"Balance benefit distribution across students, vendors, and service locations",min Inequality(t)=Var(U_student(t))+Var(Π_vendor(t))+Var(Access_location(t)),"Students, vendors, university, regulator",Distribute demand and support so that no group is systematically disadvantaged,"Improves legitimacy, trust, and long-term participation",May sacrifice short-term efficiency or profit maximization,Medium-High,"New vendor entry, vendor exit, equity-sensitive subsidy policy","Fairness index, vendor profit variance, access equity, satisfaction, EVI",Fair distribution may reduce performance of the most efficient vendors,[fairness index]
P08,Resilience-First Policy,Maximize ability to maintain service under disruption and recover quickly,max Resilience=1−Σ_t|Perf_normal(t)−Perf_shock(t)|/Σ_t Perf_normal(t),All stakeholders,"Maintain buffers, diversify supply, distribute demand, and activate backup capacity under stress","Performs well under uncertainty, shocks, and compound disruptions",May increase cost and reduce efficiency under normal conditions,High,"Supply shock, vendor failure, power outage, pandemic, multi-shock crisis","Resilience, recovery time, shortage, EVI, sustainability, cost","Robustness requires redundancy, which may appear inefficient in normal operation",[robustness index]
P09,Sustainability-First Policy,Maximize environmental and social sustainability outcomes,max SI(t)=w1*WasteReduction(t)+w2*LowCarbon(t)+w3*ReuseRate(t)+w4*SocialValue(t),"University, regulator, environment, students","Recommend low-waste production, sustainable sourcing, low-emission delivery, and reusable packaging",Aligns with institutional sustainability and regulatory objectives,Can increase cost or require behavior change,Medium-High,"Plastic ban, carbon tax, sustainability campaign, environmental reporting","Sustainability score, waste, emissions proxy, affordability, satisfaction",Sustainability improvements may require subsidy or stakeholder incentives,[sustainability score]
P10,Compliance-First Policy,"Ensure safety, hygiene, fairness, and regulatory compliance before optimizing other objectives","max Compliance(t), subject to Safety(t)≥θ_safety and Fairness(t)≥θ_fairness","Regulator, university, students","Filter or constrain all recommendations using safety, hygiene, labeling, and environmental rules",Reduces institutional risk and protects public trust,May constrain operational flexibility and reduce short-term performance,Medium,"Food safety incident, regulatory audit, new compliance rule","Compliance rate, safety incidents, trust score, vendor viability, EVI",Strict compliance constraints can reduce menu diversity or vendor participation,[compliance risk reduction %]
P11,Balanced EVI Policy,Maximize overall Ecosystem Value Index using weighted multi-objective optimization,max EVI(t)=Σ_k w_k Metric_k(t),All stakeholders,"Balance fulfillment, mission achievement, sustainability, satisfaction, profitability, and waste reduction",Provides balanced trade-off across stakeholders and mission dimensions,Requires careful weight selection and may be less transparent than single-objective policies,Medium-High,"General MOEE operation, policy comparison, normal-to-disrupted conditions","EVI, mission achievement, sustainability, satisfaction, profit, waste reduction",Poorly chosen weights can hide stakeholder-specific harm,[average EVI]
P12,Adaptive Scenario-Aware Policy,Select or blend MSRS policies dynamically according to scenario state and observed performance,"π*(t)=argmax_π E[EVI(t+1)|S(t),Scenario(t),π]",All stakeholders,"Switch between cost, nutrition, waste, resilience, fairness, or balanced policies based on scenario diagnosis",Most flexible and potentially strongest under changing conditions,"Requires reliable scenario detection, learning, and governance oversight",High,"Multi-shock crisis, long-term adaptive operation, uncertain environments","Policy switching accuracy, EVI, robustness, acceptance rate, prediction error",Adaptive behavior may be difficult to explain or audit,[adaptive policy improvement %]
