Experiment ID,Phase,Ecosystem Model ID,Ecosystem Model,Model Description,MSRS Status,MSRS Policy ID,MSRS Policy,Scenario ID,Scenario Name,Scenario Type,Scenario Difficulty,Simulation Horizon,Time Step Resolution,Repetitions,Random Seed Set,Controlled Variables,Independent Variables,Dependent Metrics,Statistical Test,Comparison Reference,Expected Analysis Output,Paper Table / Figure Link,Result Placeholder
E001,Calibration,M1,Baseline,Traditional decentralized ecosystem,No MSRS,P00,Not Applicable,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],Self reference,"Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E002,Calibration,M2,Online Platform,Digital transaction platform ecosystem,No MSRS,P00,Not Applicable,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],Compare against Baseline and Online Platform under same scenario,"Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E003,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P01,Cost-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E004,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P02,Profit-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E005,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P03,Student Satisfaction-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E006,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P04,Nutrition-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E007,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P05,Waste-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E008,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P06,Affordability-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E009,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P07,Fairness-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
E010,Calibration,M3,MOEE / TISE,PUDAL-controlled mission-oriented ecosystem,MSRS active,P08,Resilience-First Policy,S00,Normal Operation,Reference condition,Low,"30, 60, or 180 time steps [placeholder]",Daily in v0.1; hourly extension planned,n = 30 stochastic repetitions [placeholder],Seeds 1–30 [placeholder],"Same demand baseline, stakeholder capacities, cost parameters, and scenario magnitude across comparable runs",Model type; MSRS policy; scenario type; scenario magnitude,EVI; mission achievement; fulfillment; satisfaction; nutrition; waste reduction; raw waste; vendor profit; affordability; sustainability; resilience; robustness index; recommendation acceptance rate,ANOVA or Kruskal-Wallis across models/policies; paired t-test or Wilcoxon for pairwise comparison [placeholder],"Compare policy result against Baseline, Online Platform, and other MSRS policies","Mean, standard deviation, confidence interval, percentage improvement, robustness ranking",Tables 18–20; Figures 12–18,[to be filled after simulation]
