Metric ID,Metric Category,Metric Name,Symbol,Mathematical Equation,Unit,Optimization Direction,Interpretation,Normalization Method,Data Required,Contribution to EVI,Campus Food Example,Simulation Placeholder
K01,Operational Performance,Demand Fulfillment,Fulfillment(t),"Fulfillment(t)=Served(t)/max(Demand(t),1)",0–1 normalized score,Maximize,Fraction of total student demand successfully served by the ecosystem,"Already normalized; clamp to [0,1]","Demand, served meals",Direct component of operational efficiency and mission achievement,"If demand is 500 meals and 450 are served, fulfillment is 0.90",[to be computed]
K02,Operational Performance,Shortage Rate,ShortageRate(t),"ShortageRate(t)=max(Demand(t)-Served(t),0)/max(Demand(t),1)",0–1 normalized rate,Minimize,Fraction of demand that could not be served,Already normalized; lower is better,"Demand, served meals",Negative indicator for fulfillment and satisfaction,High shortage during exam week indicates insufficient production capacity,[to be computed]
K03,Operational Performance,Average Waiting Time,Wait(t),Wait(t)=QueueLength(t)/ServiceRate(t),minutes,Minimize,Average time students wait before receiving service,"WaitScore(t)=1-min(Wait(t)/WaitMax,1)","Queue length, service rate, service capacity","Affects satisfaction, convenience, and mission achievement",Long lunch queues reduce student satisfaction,[to be computed in hourly version]
K04,Operational Performance,Vendor Utilization,Util_v(t),"Util_v(t)=Output_v(t)/max(Capacity_v,1)",0–1 or percentage,Target range,Degree to which vendor production capacity is used,UtilScore=1-|Util_v(t)-UtilTarget|/UtilTarget,"Vendor output, vendor capacity",Supports vendor viability and operational efficiency,Vendor operating at 85% capacity may be healthy; 20% may indicate underuse,[to be computed]
K05,Operational Performance,Mission Synchronization Index,ρ_M(t),"ρ_M(t)=1-NormalizedDispersion(M_1(t),...,M_N(t))",0–1 normalized score,Maximize,Degree to which stakeholder mission intensities are aligned in time,"Convert dispersion of MIG values to [0,1]",Mission intensity values for all stakeholders,Indicates quality of PUDAL/MSRS coordination,"High when suppliers, vendors, and delivery agents peak before lunch demand",[to be computed]
K06,Waste and Sustainability,Raw Food Waste,W(t),"W(t)=Σ_v ρ_v*max(Q_v(t)-D_v(t),0)","meals, kg, or normalized units",Minimize,Total food waste generated from overproduction and leftovers,"WasteNorm(t)=W(t)/max(Q_total(t),1)","Production quantity, demand served by vendor, leftover rate",Negative component of sustainability and waste reduction,Overproduction by vendors increases raw food waste,[to be computed]
K07,Waste and Sustainability,Waste Reduction Score,WRS(t),"WRS(t)=1-W(t)/max(Q_total(t),1)",0–1 normalized score,Maximize,Higher score means lower waste relative to production,"Already normalized; clamp to [0,1]","Raw waste, total production",Direct sustainability and efficiency component,MOEE should increase this score by coordinating production with demand,[to be computed]
K08,Waste and Sustainability,Sustainability Score,SI(t),SI(t)=γ1*WRS(t)+γ2*LowCarbon(t)+γ3*ReuseRate(t)+γ4*ResourceEfficiency(t),0–1 normalized score,Maximize,Composite environmental and resource-sustainability performance,Weighted normalized aggregation; Σγ=1,"Waste score, emission proxy, reuse rate, resource efficiency",Direct sustainability component,Plastic ban may improve sustainability but affect cost,[to be computed]
K09,Waste and Sustainability,Carbon Proxy,CO2_proxy(t),CO2_proxy(t)=Σ_v e_v*Q_v(t)+e_d*Distance_delivery(t)+e_w*W(t),kg CO2e or normalized units,Minimize,"Proxy for emissions from food production, delivery, and waste","CO2Score=1-min(CO2_proxy/CO2_max,1)","Production quantity, delivery distance, waste, emission coefficients",Environmental subcomponent of sustainability,Long delivery routes and high waste increase carbon proxy,[future extension]
K10,Financial Performance,Vendor Profit,Π_v(t),Π_v(t)=Revenue_v(t)-Cost_v(t)+Subsidy_v(t)-Penalty_v(t),IDR or normalized monetary units,Maximize,Financial viability of vendor v,"ProfitScore=clamp(0.5+Π_v(t)/(2*Demand(t)),0,1)","Revenue, cost, subsidy, penalty",Vendor viability and ecosystem sustainability,Inflation reduces vendor profit unless price or subsidy adjusts,[to be computed]
K11,Financial Performance,Vendor Viability Score,VVS(t),VVS(t)=mean_v(ProfitScore_v(t))*SurvivalIndicator_v(t),0–1 normalized score,Maximize,Measures whether vendors remain financially sustainable,Average normalized vendor profit and survival indicators,"Vendor profit, break-even threshold, operating status",Supports long-term ecosystem viability,"If vendors operate below break-even, mission sustainability is threatened",[to be computed]
K12,Financial Performance,Student Affordability,Afford(t),"Afford(t)=1-AvgMealPrice(t)/max(StudentMealBudget(t),1)",0–1 normalized score,Maximize,Degree to which meals remain financially accessible to students,"Clamp to [0,1]","Meal prices, student budget, subsidy",Student welfare and mission achievement component,Inflation lowers affordability unless subsidies or menu adjustments are introduced,[to be computed]
K13,Student Welfare,Nutrition Score,Nutri(t),"Nutri(t)=Σ_v Served_v(t)*n_v / max(Σ_v Served_v(t),1)",0–1 normalized score,Maximize,Weighted average nutritional quality of meals consumed,"Already normalized if n_v ∈ [0,1]","Meals served by vendor, vendor nutrition scores",Student health and mission achievement component,Nutrition-first policy should increase average nutrition score,[to be computed]
K14,Student Welfare,Student Satisfaction,Sat(t),Sat(t)=w1*Afford(t)+w2*WaitScore(t)+w3*Nutri(t)+w4*Choice(t)+w5*ServiceQuality(t),0–1 normalized score,Maximize,Composite measure of student experience and welfare,Weighted normalized aggregation; Σw=1,"Affordability, waiting time, nutrition, menu diversity, service quality",Direct component of mission achievement and value,"Students are more satisfied when meals are affordable, healthy, and fast",[to be computed]
K15,Student Welfare,Menu Diversity,Choice(t),"Choice(t)=AvailableMenuOptions(t)/max(MenuOptionsTarget,1)",0–1 normalized score,Maximize,Availability of sufficient menu variety,"Clamp to [0,1]","Menu count, menu target, vendor operating status",Subcomponent of satisfaction and welfare,Vendor exit reduces menu diversity,[future extension]
K16,Mission Performance,Mission Achievement,MA(t),MA(t)=θ1*Fulfillment(t)+θ2*Nutri(t)+θ3*Afford(t)+θ4*SI(t)+θ5*VVS(t)+θ6*Sat(t),0–1 normalized score,Maximize,Degree to which the ecosystem fulfills its mission-oriented goals,Weighted normalized aggregation; Σθ=1,"Fulfillment, nutrition, affordability, sustainability, vendor viability, satisfaction",Core mission component of EVI,"MOEE succeeds if campus welfare, sustainability, and vendor viability improve together",[to be computed]
K17,Mission Performance,Mission Bottleneck Severity,B_i(t),"B_i(t)=max(RequiredOutput_i(t)-ActualOutput_i(t),0)/max(RequiredOutput_i(t),1)",0–1 normalized severity,Minimize,Severity of stakeholder-specific bottleneck that constrains ecosystem mission,Already normalized; lower is better,"Required output, actual output by stakeholder",Negative signal for resilience and mission achievement,Supplier bottleneck reduces vendor ability to produce meals,[to be computed]
