Sustainability Dimension,Metric,Formula,Unit or Range,Aggregation Level,Direction of Improvement,Data Requirement,Known Limitation
Economic,"Total stakeholder value","Sum of latest stakeholder VOMR value",Model value units,Ecosystem,Maximize,"Revenue cost and value coefficients","Nonfinancial value coefficients require normative calibration"
Economic,"Stakeholder viability","Minimum or thresholded stakeholder value/mission outcome","Score [0,1]",Stakeholder and ecosystem,Maximize,"Stakeholder-specific viability threshold","Thresholds can hide distributional differences"
Operational,"Resource efficiency","Total output created / total resource used","Output per resource",Ecosystem,Maximize,"Resource use and output records","Equal coefficients in the current case make this metric uninformative until calibrated"
Operational,"Average mission achievement","Mean of bounded output-to-target achievement","Score [0,1]",Step stakeholder and run,Maximize,"Output and mission target","Averages can conceal a harmed stakeholder"
Social,"Minimum stakeholder achievement","Minimum stakeholder mean mission achievement","Score [0,1]",Run,Maximize,"Stakeholder mission outcomes","Sensitive to stakeholder grouping and target definitions"
Social,"Mission fairness","Jain index over stakeholder mission achievement","Score [0,1]",Run,Maximize,"Stakeholder mean achievement","High equality can coexist with uniformly poor outcomes"
Governance,"Recommendation acceptance rate","Accepted changed recommendations / changed recommendations","Rate [0,1]",Run and role,Context dependent,"Recommendation and response records","High acceptance may reflect coercion unless autonomy safeguards are also reported"
Governance,"Autonomy violation rate","Recommendations violating utility/intervention safeguard / changed recommendations","Rate [0,1]",Run and role,Minimize,"Utility threshold intervention bound and recommendation log","Safeguards are model assumptions pending stakeholder validation"
Governance,"Mean autonomy loss","Mean absolute recommended minus proposed intensity","Intensity [0,1]",Run and role,Minimize subject to mission outcomes,"Proposed and recommended intensities","Absolute change does not capture every form of burden"
Resilience,"Mission retention","Disrupted-step mission achievement / overall mission achievement","Ratio",Run,Maximize,"Disruption labels and step outcomes","Can exceed one and depends on scenario timing"
Resilience,"Recovery time","Steps from shock until metric returns to prespecified band","Time steps",Event and run,Minimize,"Shock onset and recovery threshold","Undefined for no recovery or oscillatory behavior"
Environmental,"Waste burden","Leftover spoilage and packaging waste","kg meals or normalized score",Step stakeholder and run,Minimize,"Measured waste by category","Not implemented in the minimal engine at field fidelity"
Environmental,"Carbon proxy","Activity-specific quantity times emission factor","kg CO2e or normalized score",Step and run,Minimize,"Energy transport food and waste activity data","Proxy depends strongly on system boundary and emission factors"
