Metric ID,Evaluation Metric,Unit,Optimization Direction,Baseline Result,Online Platform Result,MOEE Result,MOEE vs Baseline Improvement,MOEE vs Online Improvement,95% Confidence Interval,Statistical Significance,Expected Interpretation,Related Figure,Data Source / Experiment
K01,Demand Fulfillment,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE is expected to improve demand fulfillment by synchronizing student demand, vendor production, and supplier delivery.",Figure 10; Figure 16,Table 15 experimental matrix
K02,Shortage Rate,0–1 rate,Minimize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should reduce shortage risk under demand surge and disruption scenarios.,Figure 10; Figure 18,Scenario stress tests
K03,Average Waiting Time,minutes,Minimize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],Student routing and vendor capacity balancing are expected to reduce queueing and waiting time.,Figure 14,High-resolution queue simulation [future extension]
K04,Vendor Utilization,0–1 score or %,Target range,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should reduce extreme underuse or overload by synchronizing Mission Intensity Graphs.,Figure 11; Figure 13,Vendor production and capacity records
K05,Mission Synchronization Index,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should show the highest synchronization because PUDAL coordinates stakeholder mission intensities.,Figure 4; Figure 11,Mission Intensity Graph outputs
K06,Raw Food Waste,meals or kg,Minimize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should reduce raw waste by improving production-demand alignment.,Figure 12,Waste and leftover simulation results
K07,Waste Reduction Score,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],A higher score indicates lower waste; MOEE is expected to outperform both baseline and online models.,Figure 12,Waste reduction experiment
K08,Sustainability Score,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE should increase sustainability by jointly considering waste, resource efficiency, and environmental impact.",Figure 13; Figure 16,Sustainability metric aggregation
K09,Carbon Proxy,kg CO2e or normalized score,Minimize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE can reduce carbon proxy through route optimization, waste reduction, and sustainable sourcing.",Figure 13,Environmental extension [future]
K10,Vendor Profit,IDR or normalized units,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE should protect vendor profit by reducing waste, improving demand fulfillment, and supporting policy interventions.",Figure 13,Vendor financial outputs
K11,Vendor Viability Score,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE is expected to improve long-term vendor viability through balanced recommendations.,Figure 13; Figure 15,Vendor viability analysis
K12,Student Affordability,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE may improve affordability when subsidy, menu, and vendor policies are coordinated.",Figure 14; Figure 15,Affordability and subsidy experiments
K13,Nutrition Score,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should improve nutrition when recommendations and university policies prioritize healthy menus.,Figure 14; Figure 15,Nutrition-first and balanced-EVI policy tests
K14,Student Satisfaction,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE should improve satisfaction through better availability, routing, nutrition, and affordability.",Figure 14,Student welfare metrics
K15,Menu Diversity,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE can preserve diversity by balancing demand across vendors and supporting policy interventions.,Figure 14,Menu diversity extension [future]
K16,Mission Achievement,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE should achieve higher mission performance by jointly optimizing welfare, vendor viability, sustainability, and fulfillment.",Figure 15,Mission achievement aggregation
K17,Mission Bottleneck Severity,0–1 severity,Minimize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should reduce bottleneck severity by coordinating dependent stakeholder missions.,Figure 11,Mission dependency and scenario stress tests
K18,Recommendation Acceptance Rate,0–1 score,Maximize,Not applicable,Not applicable or platform-specific,[to be filled],Not applicable,[to be filled if online recommendations exist],[to be filled],[p-value placeholder],Higher acceptance indicates better stakeholder trust and practical feasibility of MSRS recommendations.,Figure 7,PUDAL/MSRS recommendation log
K19,Recommendation Benefit Realization,relative improvement,Maximize,Not applicable,[to be filled if applicable],[to be filled],[to be filled via counterfactual],[to be filled],[to be filled],[p-value placeholder],Measures whether accepted MSRS recommendations produce measurable ecosystem value.,Figure 7; Figure 16,Counterfactual recommendation analysis
K20,Demand Forecast Error,0–1 error,Minimize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should improve forecast quality if PUDAL uses richer ecosystem state and learning.,Figure 8; Figure 9,Forecasting module output
K21,Policy Improvement Rate,EVI change/time step,Maximize,Not applicable,Not applicable,[future adaptive-learning result],Not applicable,Not applicable,[future placeholder],[future placeholder],Shows whether PUDAL learning improves policy performance over repeated scenarios.,Figure 20,Adaptive PUDAL learning experiment [future]
K22,Resilience Score,0–1 score,Maximize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],"MOEE should preserve performance more effectively under supply, capacity, and compound disruptions.",Figure 17; Figure 18,Normal-vs-shock comparison
K23,Recovery Time,time steps,Minimize,[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[to be filled],[p-value placeholder],MOEE should shorten recovery after disruptions through coordinated stakeholder recommendations.,Figure 17,Shock recovery simulation
